id,kind,review_status,topic_tags,audit_note,raw,source_files,count
R0014,internal_repo,internal_companion_source_enumerated,general,Internal companion item; used to connect the repository lineage (general).,experiments/virtual_governor_stress_signal/results/virtual_governor_stress_signal_l4_2026_07_06.md,papers/architecture_laws_machine_agency/paper.md,1
R0015,external_linked,external_citation_reviewed_from_available_bibliographic_context,causal;agency;geometry;representation,"External citation item; used as literature grounding for causal, agency, geometry, representation. Full local PDF was reviewed only if separately present in the PDF ledger.","Brehmer, J., De Haan, P., Lippe, P., & Cohen, T. (2022). Weakly supervised causal representation learning. Advances in Neural Information Processing Systems, 35. Brown, J. (2026). The Metric Stack of Concern: From Viability Prediction to Maintained Self/World Boundaries in Minimal Agents. Cooper, P., & Velasquez, A. (2026). Active Causal Experimentalist (ACE): Learning intervention strategies via direct preference optimization. arXiv: 2602.02451. Das, A., Ghugarkar, O., Bhat, V., & Aali, A. (2026). Compositional neuro-symbolic reasoning. arXiv:2604.02434. Le Lidec, Q., Biza, O., Goudet, O., Balestriero, R., & Lajoie, G. (2026). Causal-JEPA: Learning World Models through Object-Level Latent Interventions. arXiv:2602.11389. Mansouri, A., Hartford, J., Zhang, Y., & Bengio, Y. (2024). Object centric architectures enable efficient causal representation learning. ICLR 2024. Nishimoto, Y., & Matsubara, T. (2026). Object-centric world models for causality-aware reinforcement learning. arXiv:2511.14262. Revencu, B., Pajot, M., & Dehaene, S. (2026). Representations of geometric shapes have syntactic structure. Journal of Experimental Psychology: General, 155(4), 1081-1102. https://doi.org/10.1037/xge0001890 Roy, A., & Parbhoo, S. (2026). Why LLMs fail at causal discovery and how interventional agents escape. arXiv:2605.27567. Scholkopf, B., Locatello, F., Bauer, S., Ke, N. R., Kalchbrenner, N., Goyal, A., & Bengio, Y. (2021). Toward causal representation learning. Proceedings of the IEEE, 109(5), 612-634. Yang, J., Zhang, D., Song, X., Dai, Q., Liu, X., Chen, Y., Vashishtha, A., Shi, J., Tan, C., & Peng, H. (2026). CausaLab: A scalable environment for interactive causal discovery toward AI scientists. arXiv:2605.26029. Zhang, J., Meng, F., & Deng, C. (2024). Representation Learning of Geometric Trees. arXiv:2408.08799.",papers/concerned_syntax/paper.md,1
R0016,external_bibliographic,external_citation_reviewed_from_available_bibliographic_context,biology_mind,External citation item; used as literature grounding for biology_mind. Full local PDF was reviewed only if separately present in the PDF ledger.,"Bennett, M. T. (2023). On the computation of meaning, language models, and incomprehensible horrors. Synthese 201, 75.",papers/costly_null_probes/paper.md;papers/current_error_calibration/paper.md;papers/online_identifying_interventions/paper.md;papers/vector_first_order_self/paper.md,4
R0017,external_bibliographic,external_citation_reviewed_from_available_bibliographic_context,representation,External citation item; used as literature grounding for representation. Full local PDF was reviewed only if separately present in the PDF ledger.,"Locatello, F., Bauer, S., Lucic, M., Rätsch, G., Gelly, S., Schölkopf, B., & Bachem, O. (2019). Challenging common assumptions in the unsupervised learning of disentangled representations. ICML.",papers/costly_null_probes/paper.md,1
R0018,external_bibliographic,external_citation_reviewed_from_available_bibliographic_context,general,External citation item; used as literature grounding for general. Full local PDF was reviewed only if separately present in the PDF ledger.,"Levin, M. (2022). Technological Approach to Mind Everywhere: An experimentally-grounded framework for understanding diverse bodies and minds. Frontiers in Systems Neuroscience.",papers/costly_null_probes/paper.md,1
R0019,external_bibliographic,external_citation_reviewed_from_available_bibliographic_context,biology_mind,External citation item; used as literature grounding for biology_mind. Full local PDF was reviewed only if separately present in the PDF ledger.,"Vervaeke, J. (2019). Awakening from the Meaning Crisis. Lecture series.",papers/costly_null_probes/paper.md;papers/current_error_calibration/paper.md;papers/online_identifying_interventions/paper.md;papers/vector_first_order_self/paper.md,4
R0020,internal_repo,internal_companion_source_enumerated,inquiry;biology_mind,"Internal companion item; used to connect the repository lineage (inquiry, biology_mind).",Paper 14b - Calibrated Ensemble Uncertainty in Allostatic Planning - papers/ensemble_uncertainty/paper.md,papers/costly_null_probes/paper.md,1
R0021,internal_repo,internal_companion_source_enumerated,general,Internal companion item; used to connect the repository lineage (general).,Paper 15 - Tapestry of Valence - papers/valence_tapestry/paper.md,papers/costly_null_probes/paper.md;papers/current_error_calibration/paper.md;papers/online_identifying_interventions/paper.md;papers/vector_first_order_self/paper.md,4
R0022,internal_repo,internal_companion_source_enumerated,general,Internal companion item; used to connect the repository lineage (general).,Paper 16 - First-Order Self / Reafference - papers/first_order_self/paper.md,papers/costly_null_probes/paper.md,1
R0023,internal_repo,internal_companion_source_enumerated,causal,Internal companion item; used to connect the repository lineage (causal).,Paper 16b - Identifiability Through Intervention - papers/null_intervention/paper.md,papers/costly_null_probes/paper.md;papers/current_error_calibration/paper.md;papers/online_identifying_interventions/paper.md;papers/vector_first_order_self/paper.md,4
R0024,external_bibliographic,external_citation_reviewed_from_available_bibliographic_context,general,External citation item; used as literature grounding for general. Full local PDF was reviewed only if separately present in the PDF ledger.,"Levin, M. (2022). Technological Approach to Mind Everywhere. Frontiers in Systems Neuroscience.",papers/current_error_calibration/paper.md;papers/online_identifying_interventions/paper.md;papers/vector_first_order_self/paper.md,3
R0025,external_bibliographic,external_citation_reviewed_from_available_bibliographic_context,representation,External citation item; used as literature grounding for representation. Full local PDF was reviewed only if separately present in the PDF ledger.,"Locatello, F., et al. (2019). Challenging common assumptions in the unsupervised learning of disentangled representations. ICML.",papers/current_error_calibration/paper.md;papers/online_identifying_interventions/paper.md;papers/vector_first_order_self/paper.md,3
R0026,internal_repo,internal_companion_source_enumerated,inquiry,Internal companion item; used to connect the repository lineage (inquiry).,Paper 14b - Ensemble Uncertainty - papers/ensemble_uncertainty/paper.md,papers/current_error_calibration/paper.md;papers/online_identifying_interventions/paper.md,2
R0027,internal_repo,internal_companion_source_enumerated,representation;inquiry,"Internal companion item; used to connect the repository lineage (representation, inquiry).",Paper 17A - Learning When Not to Act - papers/costly_null_probes/paper.md,papers/current_error_calibration/paper.md;papers/online_identifying_interventions/paper.md;papers/vector_first_order_self/paper.md,3
R0028,internal_repo,internal_companion_source_enumerated,causal,Internal companion item; used to connect the repository lineage (causal).,Paper 18 - Online Identifying Interventions - papers/online_identifying_interventions/paper.md,papers/current_error_calibration/paper.md;papers/vector_first_order_self/paper.md,2
R0029,reference_note,literature_cluster_note_reviewed_not_atomic_citation,causal;agency;inquiry;biology_mind,"Non-atomic literature cluster note; preserved because a paper cited this cluster rather than one clean bibliographic item (causal, agency, inquiry, biology_mind).","Carried over: P22, P23A literature stack (calibrated active learning, epistemic uncertainty, BALD, causal repr learning, sense of agency, homeostatic active inference, Di Paolo, empowerment). Added for P23B specifically:",papers/habituated_reengagement/paper.md,1
R0030,unclear_reference,raw_reference_fragment_preserved_for_followup,general,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (general).,Habituation in cognitive neuroscience: dampened motor response while preserving sensory detection,papers/habituated_reengagement/paper.md,1
R0031,unclear_reference,raw_reference_fragment_preserved_for_followup,general,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (general).,Refractory periods in spiking neurons: temporary action threshold elevation post-firing,papers/habituated_reengagement/paper.md,1
R0032,unclear_reference,raw_reference_fragment_preserved_for_followup,inquiry,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (inquiry).,"Adaptive thresholds in change-point detection: CUSUM-with-reset, Page-Hinkley",papers/habituated_reengagement/paper.md,1
R0033,unclear_reference,raw_reference_fragment_preserved_for_followup,biology_mind,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (biology_mind).,Active inference and precision tuning: Friston's framing of attention-modulation as precision allocation,papers/habituated_reengagement/paper.md,1
R0034,internal_repo,internal_companion_source_enumerated,general,Internal companion item; used to connect the repository lineage (general).,Paper 19 - papers/current_error_calibration/paper.md,papers/habituated_reengagement/paper.md;papers/probe_value_reengagement/paper.md;papers/scale_normalized_vprobe/paper.md;papers/world_responds/paper.md,4
R0035,internal_repo,internal_companion_source_enumerated,general,Internal companion item; used to connect the repository lineage (general).,Paper 20B - papers/vector_first_order_self/paper.md,papers/habituated_reengagement/paper.md;papers/probe_value_reengagement/paper.md;papers/scale_normalized_vprobe/paper.md;papers/world_responds/paper.md,4
R0036,internal_repo,internal_companion_source_enumerated,representation;inquiry,"Internal companion item; used to connect the repository lineage (representation, inquiry).",Paper 21A - papers/scale_normalized_vprobe/paper.md,papers/habituated_reengagement/paper.md;papers/probe_value_reengagement/paper.md;papers/world_responds/paper.md,3
R0037,internal_repo,internal_companion_source_enumerated,general,Internal companion item; used to connect the repository lineage (general).,Paper 22 - papers/world_responds/paper.md,papers/habituated_reengagement/paper.md;papers/probe_value_reengagement/paper.md,2
R0038,internal_repo,internal_companion_source_enumerated,representation;inquiry,"Internal companion item; used to connect the repository lineage (representation, inquiry).",Paper 23A - papers/probe_value_reengagement/paper.md,papers/habituated_reengagement/paper.md,1
R0039,unclear_reference,raw_reference_fragment_preserved_for_followup,general,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (general).,Add for Paper 23B:,papers/habituated_reengagement/preregistration.md,1
R0040,unclear_reference,raw_reference_fragment_preserved_for_followup,general,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (general).,Habituation in cognitive neuroscience: how biological systems dampen response to repeated stimuli without losing the underlying detection,papers/habituated_reengagement/preregistration.md,1
R0041,unclear_reference,raw_reference_fragment_preserved_for_followup,representation,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (representation).,Refractory periods in neural firing: temporary suppression after activation,papers/habituated_reengagement/preregistration.md,1
R0042,unclear_reference,raw_reference_fragment_preserved_for_followup,inquiry,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (inquiry).,Adaptive thresholds in change-point detection: CUSUM with reset,papers/habituated_reengagement/preregistration.md,1
R0043,reference_note,literature_cluster_note_reviewed_not_atomic_citation,causal;agency;representation;inquiry;biology_mind,"Non-atomic literature cluster note; preserved because a paper cited this cluster rather than one clean bibliographic item (causal, agency, representation, inquiry, biology_mind).","Active inference / Friston: precision tuning vs information dampening Honest framing line: > Paper 23B treats the probe mechanism as a habituation system: the agent should detect surprise normally but reduce its action tendency to keep probing after recent identifying interventions. Cooling at the decision layer preserves the surprise signal as information; cooling at the signal layer risks false calm. That distinguishes us from ""just decay the surprise"" approaches.",papers/habituated_reengagement/preregistration.md,1
R0044,internal_repo,internal_companion_source_enumerated,agency,Internal companion item; used to connect the repository lineage (agency).,experiments/world_responds/BENCHMARK_CARD.md,papers/habituated_reengagement/suite_c_neural_probe_transfer.md;papers/habituated_reengagement/suite_c_reengagement_under_world_change.md,2
R0045,internal_repo,internal_companion_source_enumerated,general,Internal companion item; used to connect the repository lineage (general).,papers/structure_compatible_generalization/learned_generators_transfer.md,papers/habituated_reengagement/suite_c_neural_probe_transfer.md,1
R0046,internal_repo,internal_companion_source_enumerated,representation;inquiry,"Internal companion item; used to connect the repository lineage (representation, inquiry).",papers/probe_value_reengagement/paper.md,papers/habituated_reengagement/suite_c_reengagement_under_world_change.md,1
R0047,internal_repo,internal_companion_source_enumerated,general,Internal companion item; used to connect the repository lineage (general).,papers/habituated_reengagement/paper.md,papers/habituated_reengagement/suite_c_reengagement_under_world_change.md,1
R0048,internal_repo,internal_companion_source_enumerated,causal;agency,"Internal companion item; used to connect the repository lineage (causal, agency).",docs/causally_grounded_agents_benchmark.md,papers/habituated_reengagement/suite_c_reengagement_under_world_change.md,1
R0049,unclear_reference,raw_reference_fragment_preserved_for_followup,causal;representation,"Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (causal, representation).","Brehmer et al., Weakly Supervised Causal Representation Learning: interventional pairs unlock identifiability under certain conditions",papers/interventional_contrast/paper.md,1
R0050,unclear_reference,raw_reference_fragment_preserved_for_followup,causal,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (causal).,Pearl mediation analysis,papers/interventional_contrast/paper.md,1
R0051,unclear_reference,raw_reference_fragment_preserved_for_followup,general,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (general).,Contrastive predictive coding (Oord et al.),papers/interventional_contrast/paper.md,1
R0052,unclear_reference,raw_reference_fragment_preserved_for_followup,general,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (general).,Online k-means / vector quantization,papers/interventional_contrast/paper.md,1
R0053,reference_note,literature_cluster_note_reviewed_not_atomic_citation,general,Non-atomic literature cluster note; preserved because a paper cited this cluster rather than one clean bibliographic item (general).,Habituation literature (carried from P23B),papers/interventional_contrast/paper.md,1
R0054,unclear_reference,raw_reference_fragment_preserved_for_followup,causal,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (causal).,Causal mediation analysis (Pearl): explicit identification of mediated vs direct effects through interventional comparisons.,papers/interventional_contrast/preregistration.md,1
R0055,unclear_reference,raw_reference_fragment_preserved_for_followup,representation,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (representation).,Contrastive predictive coding (Oord et al.): learning representations through contrast between matched/unmatched pairs.,papers/interventional_contrast/preregistration.md,1
R0056,unclear_reference,raw_reference_fragment_preserved_for_followup,causal;representation,"Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (causal, representation).",Brehmer et al. weakly-supervised causal representation learning: interventional pairs unlock identifiability.,papers/interventional_contrast/preregistration.md,1
R0057,reference_note,literature_cluster_note_reviewed_not_atomic_citation,general,Non-atomic literature cluster note; preserved because a paper cited this cluster rather than one clean bibliographic item (general).,Habituation literature (carried from P23B): decision-layer cooling preserves detection while regulating action.,papers/interventional_contrast/preregistration.md,1
R0058,reference_note,literature_cluster_note_reviewed_not_atomic_citation,causal,Non-atomic literature cluster note; preserved because a paper cited this cluster rather than one clean bibliographic item (causal).,"Online clustering / vector quantization (for learned buckets): how to discover discrete abstractions over continuous state. Honest framing: > Paper 24 tests whether the three-head architecture's mediated/exogenous decomposition - partially identified in Paper 23B - becomes fully identifiable through explicit interventional contrast. The contrast loss leverages paired observations under high-hazard vs low-hazard history to directly supervise the mediated component, with anti-cheat controls (shuffled pairs, wrong-history contrast) ensuring the result is not generic regularization. The maintained-boundary mechanism from Paper 23B is frozen as backbone; only the world-decomposition supervision varies.",papers/interventional_contrast/preregistration.md,1
R0059,external_linked,external_citation_reviewed_from_available_bibliographic_context,causal;agency;representation;ood;inquiry;biology_mind,"External citation item; used as literature grounding for causal, agency, representation, ood, inquiry, biology_mind. Full local PDF was reviewed only if separately present in the PDF ledger.","Ashby, W. R. (1952). Design for a Brain. Chapman & Hall. Bennett, M. T. (2023). On the computation of meaning, language models, and incomprehensible horrors. Synthese, 201(75). Brehmer, J., De Haan, P., Lippe, P., & Cohen, T. (2022). Weakly supervised causal representation learning. Advances in Neural Information Processing Systems, 35. Burda, Y., Edwards, H., Storkey, A., & Klimov, O. (2019). Exploration by random network distillation. International Conference on Learning Representations. Canguilhem, G. (1966). Le Normal et le pathologique. Presses Universitaires de France. Dewey, J. (1938). Logic: The Theory of Inquiry. Henry Holt. Di Paolo, E. (2005). Autopoiesis, adaptivity, teleology, agency. Phenomenology and the Cognitive Sciences, 4(4), 429-452. Friston, K. (2010). The free-energy principle: a unified brain theory? Nature Reviews Neuroscience, 11(2), 127-138. Gal, Y., & Ghahramani, Z. (2016). Dropout as a Bayesian approximation: representing model uncertainty in deep learning. International Conference on Machine Learning. Gal, Y., Islam, R., & Ghahramani, Z. (2017). Deep Bayesian active learning with image data. International Conference on Machine Learning. Gibson, J. J. (1979). The Ecological Approach to Visual Perception. Houghton Mifflin. Goodhart, C. (1975). Problems of monetary management: the U.K. experience. Papers in Monetary Economics. Reserve Bank of Australia. Ha, D., & Schmidhuber, J. (2018). World models. Advances in Neural Information Processing Systems, 31. Heidegger, M. (1927). Sein und Zeit (Being and Time). Niemeyer. Houlsby, N., Huszár, F., Ghahramani, Z., & Lengyel, M. (2011). Bayesian active learning for classification and preference learning. arXiv:1112.5745. Jonas, H. (1966). The Phenomenon of Life: Toward a Philosophical Biology. Harper & Row. Kendall, A., & Gal, Y. (2017). What uncertainties do we need in Bayesian deep learning for computer vision? Advances in Neural Information Processing Systems, 30. Klyubin, A. S., Polani, D., & Nehaniv, C. L. (2005). Empowerment: a universal agent-centric measure of control. IEEE Congress on Evolutionary Computation. Lakshminarayanan, B., Pritzel, A., & Blundell, C. (2017). Simple and scalable predictive uncertainty estimation using deep ensembles. Advances in Neural Information Processing Systems, 30. Levin, M. (2022). Technological approach to mind everywhere. Frontiers in Systems Neuroscience, 16. Locatello, F., Bauer, S., Lucic, M., Rätsch, G., Gelly, S., Schölkopf, B., & Bachem, O. (2019). Challenging common assumptions in the unsupervised learning of disentangled representations. International Conference on Machine Learning. Lyons, B., Pio-Lopez, L., & Levin, M. (2026). Alignment is to a virtual governor: A theory of coordination in diverse intelligence. Preprints.org. doi:10.20944/preprints202607.0220.v1. Not peer-reviewed. Maturana, H. R., & Varela, F. J. (1980). Autopoiesis and Cognition: The Realization of the Living. D. Reidel. Mohamed, S., & Rezende, D. J. (2015). Variational information maximisation for intrinsically motivated reinforcement learning. Advances in Neural Information Processing Systems, 28. Osband, I., Wen, Z., Asghari, S. M., Dwaracherla, V., Ibrahimi, M., Lu, X., & Van Roy, B. (2023). Epistemic neural networks. Advances in Neural Information Processing Systems, 36. Parr, T., Pezzulo, G., & Friston, K. (2022). Active Inference: The Free Energy Principle in Mind, Brain, and Behavior. MIT Press. Pathak, D., Agrawal, P., Efros, A. A., & Darrell, T. (2017). Curiosity-driven exploration by self-supervised prediction. International Conference on Machine Learning. Schölkopf, B., Locatello, F., Bauer, S., Ke, N. R., Kalchbrenner, N., Goyal, A., & Bengio, Y. (2021). Toward causal representation learning. Proceedings of the IEEE, 109(5), 612-634. Settles, B. (2009). Active learning literature survey. Computer Sciences Technical Report 1648, University of Wisconsin-Madison. Shazeer, N., Mirhoseini, A., Maziarz, K., Davis, A., Le, Q. V., Hinton, G., & Dean, J. (2017). Outrageously large neural networks: the sparsely-gated mixture-of-experts layer. International Conference on Learning Representations. Simondon, G. (1958). L'Individu et sa genèse physico-biologique. Presses Universitaires de France. Thompson, E. (2007). Mind in Life: Biology, Phenomenology, and the Sciences of Mind. Harvard University Press. Uexküll, J. von (1934). A Foray into the Worlds of Animals and Humans (English translation, 2010). University of Minnesota Press. Vervaeke, J. (2019). Awakening from the Meaning Crisis (lecture series). University of Toronto.",papers/metric_stack_synthesis/paper.md,1
R0060,internal_repo,internal_companion_source_enumerated,general,Internal companion item; used to connect the repository lineage (general).,Paper 16 - First-Order Self - papers/first_order_self/paper.md,papers/online_identifying_interventions/paper.md,1
R0061,unclear_reference,raw_reference_fragment_preserved_for_followup,inquiry,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (inquiry).,"Change-point detection: CUSUM, Page-Hinkley test for distribution shift detection",papers/probe_value_reengagement/paper.md,1
R0062,reference_note,literature_cluster_note_reviewed_not_atomic_citation,inquiry,Non-atomic literature cluster note; preserved because a paper cited this cluster rather than one clean bibliographic item (inquiry).,Continual active learning under distribution shift: literature on active learning when the labeled distribution shifts mid-stream,papers/probe_value_reengagement/paper.md,1
R0063,unclear_reference,raw_reference_fragment_preserved_for_followup,general,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (general).,Habituation / sensory adaptation in cognitive neuroscience: how biological systems dampen response to repeated stimuli,papers/probe_value_reengagement/paper.md,1
R0064,unclear_reference,raw_reference_fragment_preserved_for_followup,biology_mind,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (biology_mind).,Information value vs information cost in active inference: Friston's free-energy framing of when to attend vs disengage Plus the established stack:,papers/probe_value_reengagement/paper.md,1
R0065,unclear_reference,raw_reference_fragment_preserved_for_followup,biology_mind,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (biology_mind).,"Bennett (Computation of meaning), Levin (TAME), Vervaeke (relevance realization)",papers/probe_value_reengagement/paper.md,1
R0066,unclear_reference,raw_reference_fragment_preserved_for_followup,representation,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (representation).,Locatello et al. (disentangled representations),papers/probe_value_reengagement/paper.md;papers/world_responds/paper.md,2
R0067,reference_note,literature_cluster_note_reviewed_not_atomic_citation,inquiry,Non-atomic literature cluster note; preserved because a paper cited this cluster rather than one clean bibliographic item (inquiry).,Calibrated active learning literature,papers/probe_value_reengagement/paper.md,1
R0068,unclear_reference,raw_reference_fragment_preserved_for_followup,inquiry,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (inquiry).,BALD / value of information,papers/probe_value_reengagement/paper.md,1
R0069,unclear_reference,raw_reference_fragment_preserved_for_followup,causal,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (causal).,Brehmer et al. (weakly supervised causal repr learning),papers/probe_value_reengagement/paper.md,1
R0070,unclear_reference,raw_reference_fragment_preserved_for_followup,general,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (general).,Empowerment (Klyubin et al.),papers/probe_value_reengagement/paper.md,1
R0071,unclear_reference,raw_reference_fragment_preserved_for_followup,biology_mind,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (biology_mind).,Di Paolo (autopoiesis/adaptivity),papers/probe_value_reengagement/paper.md,1
R0072,internal_repo,internal_companion_source_enumerated,causal,Internal companion item; used to connect the repository lineage (causal).,Paper 18 - papers/online_identifying_interventions/paper.md,papers/probe_value_reengagement/paper.md;papers/scale_normalized_vprobe/paper.md;papers/world_responds/paper.md,3
R0073,unclear_reference,raw_reference_fragment_preserved_for_followup,general,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (general).,Carry over P22's stack plus:,papers/probe_value_reengagement/preregistration.md,1
R0074,unclear_reference,raw_reference_fragment_preserved_for_followup,inquiry,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (inquiry).,"Novelty detection / change-point detection: CUSUM, page-Hinkley, surprise-driven exploration",papers/probe_value_reengagement/preregistration.md,1
R0075,reference_note,literature_cluster_note_reviewed_not_atomic_citation,inquiry,Non-atomic literature cluster note; preserved because a paper cited this cluster rather than one clean bibliographic item (inquiry).,Active learning under distribution shift: continual active learning literature,papers/probe_value_reengagement/preregistration.md,1
R0076,reference_note,literature_cluster_note_reviewed_not_atomic_citation,agency,Non-atomic literature cluster note; preserved because a paper cited this cluster rather than one clean bibliographic item (agency).,Sense of agency under environmental drift: literature on agency maintenance through changing sensorimotor contingencies,papers/probe_value_reengagement/preregistration.md,1
R0077,reference_note,literature_cluster_note_reviewed_not_atomic_citation,causal;representation;inquiry,"Non-atomic literature cluster note; preserved because a paper cited this cluster rather than one clean bibliographic item (causal, representation, inquiry).",Value of information in active inference: explicit treatment of intervention value vs information value Honest framing line: > Paper 23A redefines the program's probe-value signal as marginal MAE reducibility - the expected benefit of one more identifying intervention - and introduces a re-engagement mechanism that detects boundary staleness via non-null prediction surprise. Both upgrades address concrete bottlenecks Paper 22 named: oracle confounding (current error != value) and self-silencing (probe stops -> no data -> probe stays stopped).,papers/probe_value_reengagement/preregistration.md,1
R0078,unclear_reference,raw_reference_fragment_preserved_for_followup,general,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (general).,Carried from P22-24's six-cluster citation stack. Add for P25:,papers/role_specific_identifiability/paper.md,1
R0079,unclear_reference,raw_reference_fragment_preserved_for_followup,general,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (general).,Mixture of experts (Shazeer et al.) - disjoint per-role heads via gated routing,papers/role_specific_identifiability/paper.md,1
R0080,unclear_reference,raw_reference_fragment_preserved_for_followup,causal,Ambiguous reference fragment from a paper reference section; preserved for exhaustive coverage and marked for manual bibliographic cleanup (causal).,"Causal abstraction identifiability under partial intervention (Beckers, Halpern)",papers/role_specific_identifiability/paper.md,1
