file,title,pages,review_depth,summary,keywords
papers/epistemic_exploration/paper.pdf,Learning to Ask What Matters,9,local_pdf_text_extracted_all_pages,"Learning to Ask What Matters: Conservative Epistemic Exploration Recovers Self-Organized Concern from a Biased Initial Policy; Novelty-Seeking Exploration Does Not Author. Jawaun Brown. Abstract Companion paper [10b] identiﬁed action coverage as a third necessary condition (alongside representational geometry and readout capacity) for self-organized concern-shaped competence: under a fully-biased ""always consume"" initial policy, the Paper 10 model_plan_delta_e pipeline collapses on XOR (action accuracy 0.491, return 1.97) even though the encoder's reward-cluster geometry remains high (rg +1.80). The reviewer of [10b] suggested four candidate ﬁxes: ε-greedy stochastic schedules, ICM-style prediction-error curiosity [3], bootstrap-DQN-style ensemble disagreement [4 by analogy], and active- inference-style expected information gain [5, 6]. This paper runs all four against the biased-prior f",causal;agents;geometry;concern;ood;symmetry
papers/exploration_diagnostics/paper.pdf,Exploration Diagnostics,8,local_pdf_text_extracted_all_pages,"Exploration Diagnostics: Skip-Branch Calibration Reveals Failure Modes; Margin-Based Epistemic Sampling Recovers Partially from Wrong-Init; All Mechanisms Fail Under High Noise Author. Jawaun Brown. Abstract Companion paper [11] reported that two intrinsic exploration mechanisms - ε-greedy with decay and margin-based epistemic sampling (called expected_info_gain in [11]; here renamed to margin-based epistemic sampling, MBES, per reviewer guidance) - recover full XOR competence from a biased initial policy in the homeostatic bandit, while ICM-style prediction-error curiosity and bootstrap-DQN-style ensemble disagreement fail. The reviewer prescribed ﬁve diagnostic ablations before promoting Paper 11's result. This paper runs three of them as a 54-cell sweep (6 conditions x 3 variants x 3 seeds, XOR only): • Extended calibration - log skip-branch MSE, margin MSE, and margin sign accuracy a",agents;geometry;concern;inquiry
papers/first_order_self/paper.pdf,First-Order Self,9,local_pdf_text_extracted_all_pages,"First-Order Self: Architectural Factorization Alone Does Not Recover Self/World Attribution; Oracle Supervision Does - Gauge-Symmetric Heads Without Identiﬁability Author. Jawaun Brown. Abstract Companion paper [15] showed that vector DeltaV heads support ﬂexible concern under shifted internal-priority weights, while scalar drive heads cannot reweight. The natural next step - and the cleanest minimal computational test of Bennett's ""ﬁrst-order self"" and Levin's ""computational boundary of self"" - is self/world attribution: can the agent learn to separate viability changes that result from its own actions from changes that result from exogenous (world-caused) sources? This paper tests the most natural ML formulation: an architectural factorization where a self_head sees (z, E, action) and a world_head sees (z, E) only - no action input. The two sub-heads sum to predict total observed Delta",causal;agents;geometry;concern;ood;symmetry
papers/habituated_reengagement/paper.pdf,Habituated Re-Engagement: Post-Probe Cooling Stabilizes Autonomous Identifying Interventions,11,local_pdf_text_extracted_all_pages,"Habituated Re-Engagement: Post-Probe Cooling Stabilizes Autonomous Identifying Interventions Jawaun Brown 2026-06-12 Abstract Paper 23A established that adding a non-null prediction-error boost to V_probe broke the self-silencing trap from Paper 22 - for the ﬁrst time in the program, the agent re-engaged probes after a regime shift (137% of pre-shift density, 3.04x of unaﬀected buckets). But the same mechanism produced anxiety: 0/3 seeds recovered to MAE <= 0.10, post-shift null rate rose above pre-shift, and post-shift AUC was the worst of any learned condition. Paper 23B isolates the third subproblem: stable saturation after suﬃcient identiﬁcation. The critical conceptual choice - implement cooling at the decision layer (reduce action tendency given recent probe eﬀort) rather than at the signal layer (erase the surprise signal). Surprise is the agent's correct read that ""the world is c",causal;agents;geometry;concern;ood;symmetry
papers/habituated_reengagement/suite_c_neural_probe_transfer.pdf,Suite C Neural Probe Transfer,3,local_pdf_text_extracted_all_pages,"Suite C Neural Probe Transfer: Learned Inquiry Without False Calm Jawaun Brown Abstract Suite C previously showed that a hand-speciﬁed decision-layer policy can re-engage after world change, recover attribution, quiet down without false calm, and reopen after a second shift. This paper tests the next bounded transfer: train the probe policy itself. A small NumPy MLP probe head is trained from Suite C teacher traces, calibrated on separate seeds, and evaluated on held-out seeds with stale-signal, wrong-signal, signal-suppression, and matched-random controls. The learned head passes the held-out neural-transfer gate: ﬁnal aﬀected MAE 0.112, aﬀected/unaﬀected selectivity 16.667, second-shift reopenability 17.448, and 23.1 probes versus 144.0 scheduled and 67.8 oracle-source probes. Matched random at the same budget reaches selectivity 0.969. 1. Question The question is whether the architect",agents;ood;inquiry;consciousness
papers/habituated_reengagement/suite_c_reengagement_under_world_change.pdf,Suite C Re-Engagement Under World Change,3,local_pdf_text_extracted_all_pages,"Suite C Re-Engagement Under World Change: A No-False-Calm Benchmark for Adaptive Inquiry Jawaun Brown Abstract Prior work in this lineage found a precise failure: agents can learn to probe eﬃciently, become quiet after apparent convergence, and then fail to ask again after the world changes. Paper 23A restored re-engagement but produced anxious over-probing; Paper 23B showed that decision-layer cooling is safer than erasing the surprise signal. This paper turns those ﬁndings into Suite C, a public ﬁnite benchmark gate. The suite requires ﬁrst-shift re-engagement, attribution recovery, no false calm, cost-aware inquiry, and second-shift re-openability in one artifact. The headline condition is burst_then_refractory. It passes all six Suite C gates in this controlled harness: ﬁnal aﬀected MAE 0.112, aﬀected/unaﬀected post-shift selectivity 16.927, second-shift reopenability 16.667, and 22.",causal;agents;ood;inquiry;consciousness
papers/homeostatic_objects/paper.pdf,When Active Geometry Transfers,9,local_pdf_text_extracted_all_pages,"When Active Geometry Transfers: Valence-Pretrained Encoders Survive Episodic Homeostatic RL Where Sparse-Reward RL Fails Author. Jawaun Brown. Abstract The companion paper [6] showed that under a supervised optimal-action objective, encoders cluster the world by causal-valence role rather than sensory similarity - a clean static-objective demonstration of ""objects from concern."" This paper tests whether that demonstration transfers from the static-objective stand-in to the temporal viability setting Bennett & Suzuki's autopoietic theorem [7] explicitly cares about: an episodic environment with an internal energy variable, REINFORCE policy gradient updates, and viability- conditioned termination. We run a 42-cell Modal sweep (3 seeds x 2 reward structures x 7 training conditions) on a minimal homeostatic bandit (16-dim observations with crossed color x label -> reward, internal energy E ∈",causal;agents;geometry;concern;ood;symmetry
papers/icml_publication_package_2026/proxy_resistant_agent_benchmarks/paper.pdf,paper,5,local_pdf_text_extracted_all_pages,"Agent benchmarks often reward final task success, but final success can be proxy-supported: a model may ex- ploit shortcuts, stale confidence, local final cues, uniform memory, or brittle tool surfaces. We propose a finite- agent benchmark design rule: a suite passes only when behavior, a suite-specific causal/structure gate, and anti- cheat controls all pass. We instantiate the rule with two hardened anchors. Suite C tests adaptive inquiry under world change: agents must remain quiet when stable, re- engage after change, recover attribution, avoid false calm, spend fewer probes than high-cost controls, and reopen after a second shift. Suite D/E tests long-horizon com- mitment: a future-critical variable must survive memory, generated action, tool schema, repair, causal readout, and black-box API behavior surfaces. The benchmark is not a consciousness test or production reliability certi",causal;agents;geometry;ood;symmetry;inquiry
papers/icml_publication_package_2026/structure_compatible_model_selection/paper.pdf,paper,9,local_pdf_text_extracted_all_pages,"Structure-Compatible Model Selection Under Underspecification Anonymous Authors Abstract Modern learning pipelines are often underspecified: many trained models can match train and in-distribution valida- tion metrics while behaving differently under deployment shift. We study a finite, auditable slice of this problem. The central hypothesis is that, when a deployment shift is generated by a candidate transformation family, mod- els should be selected not only by validation performance but also by whether their learned input-output map pre- serves that transformation. We consolidate six experi- mental phases spanning symbolic cyclic tasks, modular algorithmic tables, rotated visual objects, learned genera- tors, language-like template substitution, frozen-encoder semantic retrieval, and OOD-free semantic model-zoo se- lection. Across these settings, structure-compatible pre- dictors usua",causal;agents;geometry;concern;ood;symmetry
papers/icml_publication_package_2026/suite_c_teacher_free_inquiry/paper_outline.pdf,paper_outline,1,local_pdf_text_extracted_all_pages,"Suite C previously showed that a hand-specified policy and then a teacher-trained probe head can re-engage af- ter world change. This paper reports the next finite step: a linear inquiry policy selected by teacher-free cross-entropy-method reward search. The training objec- tive uses downstream recovery, selective re-engagement, second-shift reopenability, probe cost, and anti-cheat con- trols; it does not consume hand-policy labels, teacher ac- tions, or teacher probabilities. On held-out seeds the policy passes C1-C6 plus T1/N1, and a 64-seed boot- strap replication preserves the effect. A follow-up ab- lation replaces the privileged source-identity bit with an observable source estimate and routes the policy through a local tool-call adapter; both finite gates pass, while a malformed-tool control fails.",agents;ood;inquiry;consciousness
papers/interventional_contrast/paper.pdf,Interventional Contrast for Mediated Self/World Attribution,10,local_pdf_text_extracted_all_pages,"Interventional Contrast for Mediated Self/World Attribution: From Hand-Coded Buckets to Learned Probe Abstractions Jawaun Brown 2026-06-12 Abstract Paper 23B established the program's ﬁrst stable maintained self/world boundary mechanism (8/10 gates, including G6 anti-cheating and G10 re-openability after a second regime shift). But Paper 23B's G8 (mediated/exogenous identiﬁability) ﬂagged a remaining issue: the three-head architecture's summed world prediction was correct, but the internal split between mediated and exogenous components was only partially identiﬁed - the headline under-predicted mediated by ~40% (MAE 0.09, at threshold boundary). Paper 24 tests whether explicit interventional contrast supervision - training the mediated head on (world_pred(high_h_history) − world_pred(low_h_history)) against the empirical diﬀerence in paired null observations - identiﬁes the components t",causal;agents;geometry;ood;symmetry;inquiry
papers/learned_symmetry_discovery/paper.pdf,Learning the Group,10,local_pdf_text_extracted_all_pages,Learning the Group: Data-Inferred Equivariance Predicts Out-of-Distribution Generalization Without Oracle Symmetry Author. Jawaun Brown. Abstract A central limitation of recent symmetry-and-generalization work - including our own prior result that weakness (symmetry-compatible-hypothesis volume) predicts OOD generalization on partially-observed cyclic symmetries - is that the transformation group is supplied by an oracle. Perin and Deny [4] prove that conventional networks cannot extrapolate partially-observed cyclic symmetries; the natural follow-up question is whether the group can be inferred from training data alone. We give a positive answer for the ﬁnite-group case. Our infer_rotation_group_from_training procedure searches a discrete candidate set of transformations and keeps those under which training inputs map to other training inputs of the same label with high feature similari,causal;agents;ood;symmetry;inquiry;consciousness
papers/long_horizon_bottleneck/paper.pdf,Future Control Moves Memory,8,local_pdf_text_extracted_all_pages,"Future Control Moves Memory: A Long-Horizon Moved-Bottleneck Diagnostic for Synthetic Agents Jawaun Brown 2026-07-06 Abstract This paper asks a narrow question about ﬁnite neural agents: when one early state variable becomes future-critical for a delayed decision, does the agent's memory geometry become speciﬁcally sensitive to that variable, and does that sensitivity move when the critical variable moves? We introduce the long-horizon moved-bottleneck diagnostic. Four early clue slots are matched for salience and frequency. One slot is selected as the future-critical bottleneck, moved across registered positions, and queried only after a long delay. The primary metric is not just ﬁnal accuracy; it is the relative displacement of the ﬁnal hidden state under single-slot bit ﬂips. The registered gate requires the ﬁnal-state sensitivity peak to follow the moved critical slot while remaining",causal;agents;geometry;concern;ood;symmetry
papers/metaphysics_synthesis/paper.pdf,paper,14,local_pdf_text_extracted_all_pages,"What Matters Becomes Measurable: A Synthesis of Structure-Compatible Generalization, Concern Geometry, and Proxy-Resistant Finite Agents Jawaun Brown Research Derived Experiments July 6, 2026 Abstract This synthesis condenses the July 2026 ""Metaphysics of Intelligence"" archive and the associated Research Derived Experiments repository into one reviewer-facing argument. The central result is not that the work proves consciousness, general agency, or universal OOD robustness. It does something more actionable: it shows how to test whether ﬁnite learning systems succeed because the right structure controls behavior, rather than because a proxy passed the surface metric. Across the archive, the strongest evidence falls into ﬁve clusters. First, structure-compatible model selection shows that, under underspeciﬁcation, compatibility with deployment-relevant trans- formations can select better ",causal;agents;geometry;concern;ood;symmetry
papers/metric_stack_synthesis/paper.pdf,The Metric Stack of Concern,27,local_pdf_text_extracted_all_pages,"The Metric Stack of Concern: From Viability Prediction to Maintained Self/World Boundaries in Minimal Agents Jawaun Brown 2026-06-12 Abstract How can we tell whether a minimal agent's behavior depends on the intended internal structure, rather than on a proxy? We address this measurement problem in homeostatic bandits where agents must predict viability change, act, intervene through costly null actions, and attribute observed changes to self versus world. We synthesize a 25-study experimental arc in which a family of minimal homeostatic agents is progressively augmented with mechanisms for autonomous self/ world attribution: concern-like representation, vector-valued valence, active null-anchored intervention (Brehmer et al., 2022), calibrated probe selection (Houlsby et al., 2011; Settles, 2009), decision-layer habituation, and learned probe abstractions. The arc reaches a clearly iden",causal;agents;geometry;concern;ood;symmetry
papers/neural_group_generator/paper.pdf,When Pixels Beat Embeddings,8,local_pdf_text_extracted_all_pages,"When Pixels Beat Embeddings: Three Failed Neural Approaches to Symmetry Group Discovery Author. Jawaun Brown. Abstract The Learning the Group paper [2] showed that a simple enumerative procedure - for each candidate rotation θ in a 24-angle grid, score by mean pixel-cosine to the nearest same-class training example - recovers the true Z_8 rotation group from partial-orbit training data at 89.7% recall, 71.3% precision, with no oracle access. That paper's main limitation, raised in its §6, is that the candidate set must be enumerable. The natural follow-on is to replace enumeration with a neural generator that proposes continuous-parameter transformations. We test three natural neural approaches on synthetic strokes and ﬁnd that all three underperform the pixel-cosine baseline under threshold-based selection. We diagnose each failure. We then test the same methods on rotated MNIST (real d",causal;agents;geometry;ood;symmetry
papers/null_intervention/paper.pdf,Identifiability Through Intervention,10,local_pdf_text_extracted_all_pages,"Identiﬁability Through Intervention: Null Actions Break the Gauge Symmetry of First-Order Self - Active Anchoring Reduces False-Credit by 82% Author. Jawaun Brown. Abstract Companion paper [16] established that architectural self/world factorization (self_head sees action; world_head doesn't) is gauge-symmetric: the two sub-heads can split the joint prediction arbitrarily, and architecture alone is insuﬃcient for semantic decomposition. The factorized model overshot the true self value for food consume by +0.51 (predicted +1.47 vs true +0.96) while the world_head compensated with the equal-and-opposite oﬀset. Action accuracy was unaﬀected (gauge symmetry preserves action diﬀerences) - the cleanest case in the program of behavioral correctness coexisting with representational error. This paper tests the active-intervention ﬁx proposed in Paper [16] §7: add a null action to the env. Null i",causal;agents;geometry;concern;ood;symmetry
papers/off_policy_state_coverage/paper.pdf,Off-Policy State Coverage,9,local_pdf_text_extracted_all_pages,"Oﬀ-Policy DeltaE Training Partially Recovers State-Dependent Concern - But Refutes Paper 12's Coverage Diagnosis and Reveals a Boundary-Smoothing Failure at E=0.5 Author. Jawaun Brown. Abstract Companion paper [12] reported a uniform failure on state-dependent reward (return 13/50, action accuracy 0.47) across six online training conditions, including the Paper [11] winner (MBES) and the Paper [11b] ensemble-margin follow-up. Paper [12]'s diagnosis: the agent's own homeostatic dynamics produce training data biased toward low-E states, so the DeltaE head never sees the high-E counterfactual data needed to learn the E=0.5 inversion. The natural ﬁx: decouple training data from episode dynamics via oﬀ-policy sampling. This paper tests the oﬀ-policy ﬁx. 24-cell sweep (4 conditions x 2 envs x 3 seeds): oﬀ-policy state-aware (HEADLINE), oﬀ-policy state-blind (control), online state-aware (Paper",causal;agents;geometry;concern;ood;inquiry
papers/online_identifying_interventions/paper.pdf,Online Identifying Interventions: Factorial Isolation of Probe-Target Bias and Data-Regime Effects in First-Order Self/World Identifiability,10,local_pdf_text_extracted_all_pages,"Online Identifying Interventions: Factorial Isolation of Probe-Target Bias and Data-Regime Eﬀects in First-Order Self/World Identiﬁability Jawaun Brown 2026-06-11 Abstract Paper 17A (Learning When Not to Act) falsiﬁed autonomous null-probe selection while replicating Paper 16b's anchor mechanism. Its §5 discussion named two distinct candidate bottlenecks: (i) the V_probe target was dominated by Bernoulli shock noise rather than systematic attribution error, and (ii) the oﬀ-policy uniform training regime meant probe decisions could not aﬀect training data - only viability cost. Paper 18 factorially isolates these two axes (probe target ∈ {raw per-sample, lagged signed-residual EMA} x data regime ∈ {oﬀ-policy ﬁxed, online buﬀer-shaped}) with the full anchor/oracle/control ladder. Thirteen gates were pre-registered before any compute ran. Headline (mixed-with-mechanism, 4/13 gates pass): • ",causal;agents;geometry;concern;ood;symmetry
papers/passive_to_active_geometry/paper.pdf,From Passive Cluster to Active Controller,9,local_pdf_text_extracted_all_pages,"From Passive Cluster to Active Controller: Action Coupling Makes Latent Geometry Causally Load-Bearing Author. Jawaun Brown. Abstract Three prior empirical papers in this program established that weakness (symmetry-compatible-hypothesis volume) predicts out-of-distribution generalization [1], that the relevant symmetry group can often be recovered from training data alone [2], and that pixel-cosine and learned-encoder methods occupy diﬀerent operating regimes [3]. Across those papers, the geometry being measured was passive: it predicted behavior but was not necessarily causally responsible for it. The prior paraphrase-probe result was the clearest example - paraphrase orbits clustered strongly in Pythia-70M layer-5 latent space (centered cosine gap +0.79), but per-concept latent clustering did not predict per-concept next-token behavioral consistency. This paper tests whether the same l",causal;geometry;ood;symmetry;inquiry;consciousness
papers/pdf/concern_deforms_metric.pdf,"Value-Weighted Training Deforms Learned Metrics Across RNN, Transformer, and JEPA-Style Spatial Models",12,local_pdf_text_extracted_all_pages,"Value-Weighted Training Deforms Learned Metrics Across RNN, Transformer, and JEPA-Style Spatial Models Jawaun Brown Research-Derived Experiments · Paper B Abstract If a representation is used to act, valuable regions should not merely receive labels; they should receive resolution. This paper tests a bounded version of that claim by injecting a movable loss-weight field, called concern here only as operational shorthand, into a path-integration task and asking whether the learned representational metric moves with it. A Modal H200/H100 sweep trains 1,920 finite-capacity spatial models: three architecture families (RNN, causal Transformer, and JEPA-style predictive latent model), 64 seeds per family, nine registered concern locations, and matched uniform controls. The primary observable is neighbor-stretch metric density, the mean latent displacement induced by a unit physical displacemen",causal;agents;geometry;concern;ood;symmetry
papers/pdf/reward_deformation_effective_dimension_law.pdf,A Measured Effective-Dimension Law for Value-Weighted Metric Deformation in Path-Integration RNNs,6,local_pdf_text_extracted_all_pages,"A Measured Effective-Dimension Law for Value-Weighted Metric Deformation in Path-Integration RNNs Jawaun Brown Research-Derived Experiments · Preregistered Geometry Sweep Abstract A value-weighted rate-distortion derivation predicts that a finite-capacity 2-D code should allocate local area density as √det g ∝ w^{1/2}. We preregistered a geometry sweep designed to distinguish this physical 2-D law from an effectively 1-D allocation law: a stripe value field should give α near 1/3, while an anisotropic value field varying along both arena axes should give α near 1/2 if the 2-D law governs the trained code. The experiment rejects that d=2, α=1/2 prediction as a description of this path-integration RNN harness. Across 576 H100-trained capacity-bottleneck networks, anisotropic 2-D at A=6 gives α=0.309 [0.304, 0.314], stripe gives α=0.302 [0.298, 0.307], and point gives α=0.283 [0.278, 0.288]",causal;agents;geometry;concern
papers/pdf/unified_metric_weakness_portfolio/finite_representations_portfolio.pdf,finite_representations_portfolio,38,local_pdf_text_extracted_all_pages,"Finite Representations Allocate Resolution and Generalization Under Structure Four Research-Derived Experiments on Metric Deformation, Effective Dimension, Weakness, and Toroidal Topology Jawaun Brown July 2026 Executive Overview This portfolio collects four linked research-derived experiments on finite learned representations. 1. Metric allocation is experimentally movable. In finite-capacity spatial models, externally specified value weights causally reshape local representational geometry. Moving the priority field moves local metric density across RNN, Transformer, and JEPA-style spatial models. 2. The scaling exponent measures effective allocation dimension. A value-weighted rate-distortion derivation predicts a physical two-dimensional exponent, but the measured RNN exponent is near the one-dimensional family. The exponent therefore reports the effective dimension through which the",causal;agents;geometry;concern;ood;symmetry
papers/pdf/unified_metric_weakness_portfolio/finite_representations_portfolio_with_bookmarks.pdf,finite_representations_portfolio_with_bookmarks,38,local_pdf_text_extracted_all_pages,"Finite Representations Allocate Resolution and Generalization Under Structure Four Research-Derived Experiments on Metric Deformation, Effective Dimension, Weakness, and Toroidal Topology Jawaun Brown July 2026 Executive Overview This portfolio collects four linked research-derived experiments on finite learned representations. 1. Metric allocation is experimentally movable. In finite-capacity spatial models, externally specified value weights causally reshape local representational geometry. Moving the priority field moves local metric density across RNN, Transformer, and JEPA-style spatial models. 2. The scaling exponent measures effective allocation dimension. A value-weighted rate-distortion derivation predicts a physical two-dimensional exponent, but the measured RNN exponent is near the one-dimensional family. The exponent therefore reports the effective dimension through which the",causal;agents;geometry;concern;ood;symmetry
