candidate_id,status,evidence_level,source_kind,title,authors,year,venue,doi,url,arxiv_id,topics,abstract_available,abstract_summary,relevance_to_corpus,limitations,audit_ids,source_files,raw_reference
Sf7662846db,manual_foundational_reference,topic_inferred_from_citation_fragment,manual_topic_seed,Active inference and precision tuning: Friston's framing of attention-modulation as precision allocation,,,,,,,meaning_mind,False,Resolved as a foundational topic rather than a single metadata record: active inference and precision/value-of-information framing. Use as conceptual background and repair the exact bibliographic target before final publication.,"Grounds the philosophical/neurobiological bridge from signal processing to meaning, relevance, attention, and organism-relative worlds.",Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0033,.;/;_;a;b;d;e;g;h;i;m;n;p;r;s;t;u,Active inference and precision tuning: Friston's framing of attention-modulation as precision allocation
Sc26a92cf47,manual_foundational_reference,topic_inferred_from_citation_fragment,manual_topic_seed,"Active Inference: The Free Energy Principle in Mind, Brain, and Behavior",,2022,,,,,meaning_mind,False,Resolved as a foundational topic rather than a single metadata record: active inference and precision/value-of-information framing. Use as conceptual background and repair the exact bibliographic target before final publication.,"Grounds the philosophical/neurobiological bridge from signal processing to meaning, relevance, attention, and organism-relative worlds.",Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Parr, T., Pezzulo, G., & Friston, K. (2022). Active Inference: The Free Energy Principle in Mind, Brain, and Behavior. MIT Press."
S2dfad56e05,resolved_with_abstract,abstract_read,openalex,Active Learning Literature Survey,Burr Settles,2009,Minds at UW (University of Wisconsin),,https://openalex.org/W2903158431,,uncertainty_inquiry,True,"This includes a discussion of the scenarios in which queries can be formulated, and an overview of the query strategy frameworks proposed in the literature to date.","Grounds probe-value, reengagement, and inquiry claims in epistemic uncertainty, expected information gain, and active sampling.",Abstract metadata was available; full text was not automatically read in this pass.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Settles, B. (2009). Active learning literature survey. Computer Sciences Technical Report 1648, University of Wisconsin-Madison."
S3a7718876d,unresolved_external_reference,topic_inferred_from_citation_fragment,manual_topic_seed,Active learning under distribution shift: continual active learning literature,,,,,,,uncertainty_inquiry,False,No reliable external metadata/abstract was recovered automatically. Keep this row in the running bibliography-repair queue.,"Grounds probe-value, reengagement, and inquiry claims in epistemic uncertainty, expected information gain, and active sampling.",Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0075,.;/;_;a;b;d;e;g;i;l;m;n;o;p;r;s;t;u;v,Active learning under distribution shift: continual active learning literature
S225ec82f4a,manual_foundational_reference,topic_inferred_from_citation_fragment,manual_topic_seed,Adaptive thresholds in change-point detection: CUSUM with reset,,,,,,,general_foundation,False,Resolved as a foundational topic rather than a single metadata record: change-point detection and adaptive alarms. Use as conceptual background and repair the exact bibliographic target before final publication.,Provides background literature context; its exact role needs manual section-level placement.,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0042,.;/;_;a;b;d;e;g;h;i;m;n;o;p;r;s;t;u,Adaptive thresholds in change-point detection: CUSUM with reset
S5f88ff7222,manual_foundational_reference,topic_inferred_from_citation_fragment,manual_topic_seed,"Adaptive thresholds in change-point detection: CUSUM-with-reset, Page-Hinkley",,,,,,,general_foundation,False,Resolved as a foundational topic rather than a single metadata record: change-point detection and adaptive alarms. Use as conceptual background and repair the exact bibliographic target before final publication.,Provides background literature context; its exact role needs manual section-level placement.,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0032,.;/;_;a;b;d;e;g;h;i;m;n;p;r;s;t;u,"Adaptive thresholds in change-point detection: CUSUM-with-reset, Page-Hinkley"
Sb386185292,unresolved_external_reference,topic_inferred_from_citation_fragment,manual_topic_seed,Add for Paper 23B:,,,,,,,general_foundation,False,No reliable external metadata/abstract was recovered automatically. Keep this row in the running bibliography-repair queue.,Provides background literature context; its exact role needs manual section-level placement.,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0039,.;/;_;a;b;d;e;g;h;i;m;n;o;p;r;s;t;u,Add for Paper 23B:
S1e8ff9cc98,resolved_with_abstract,abstract_read,arxiv,AgentBench: Evaluating LLMs as Agents,Xiao Liu; Hao Yu; Hanchen Zhang; Yifan Xu; Xuanyu Lei; Hanyu Lai; Yu Gu; Hangliang Ding; Kaiwen Men; Kejuan Yang; Shudan Zhang; Xiang Deng; Aohan Zeng; Zhengxiao Du; Chenhui Zhang; Sheng Shen; Tianjun Zhang; Yu Su; Huan Sun; Minlie Huang; Yuxiao Dong; Jie Tang,2023,arXiv,,http://arxiv.org/abs/2308.03688v3,2308.03688,agency_viability,True,"Our extensive test over \num API-based and open-sourced (OSS) LLMs shows that, while top commercial LLMs present a strong ability of acting as agents in complex environments, there is a significant disparity in performance between them and many OSS competitors that are no larger than 70B. We identify the typical reasons of failures in environments and LLMs, showing that poor long-term reasoning, decision-making, and instruction following abilities are the main obstacles for developing usable LLM agents.","Grounds the corpus's view of agents as bounded systems that preserve viability through regulation, control, and adaptive coupling.",Abstract metadata was available; full text was not automatically read in this pass.,R0151,.;/;0;2;6;;;_;a;b;c;d;e;f;g;h;i;k;l;m;n;o;p;r;s;t;u;x;y,"Liu, Xiao and Yu, Hao and Zhang, Hanchen and Xu, Yifan and Lei, Xuanyu and Lai, Hanyu and Gu, Yu and Ding, Hangliang and Men, Kaiwen and Yang, Kejuan and others (). AgentBench: Evaluating LLMs as Agents. arXiv preprint arXiv:2308.03688"
S7c5f36ac92,unresolved_external_reference,topic_inferred_from_citation_fragment,manual_topic_seed,Alignment is to a virtual governor: A theory of coordination in diverse intelligence,,2026,,10.20944/preprints202607.0220.v1,,,general_foundation,False,No reliable external metadata/abstract was recovered automatically. Keep this row in the running bibliography-repair queue.,Provides background literature context; its exact role needs manual section-level placement.,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0001;R0059,.;/;;;_;a;b;c;d;e;f;g;h;i;k;l;m;n;o;p;r;s;t;u;v;w;y,"Lyons, B., Pio-Lopez, L., & Levin, M. (2026). Alignment is to a virtual governor: A theory of coordination in diverse intelligence. Preprints.org. doi:10.20944/preprints202607.0220.v1. Not peer-reviewed."
Sbe3041f353,resolved_metadata_only,metadata_read,openalex,All-but-the-Top: Simple and Effective Postprocessing for Word Representations,Jiaqi Mu; Pramod Viswanath,2018,arXiv (Cornell University),,https://openalex.org/W2964073004,,world_models,False,No reliable external metadata/abstract was recovered automatically. Keep this row in the running bibliography-repair queue.,"Grounds the world-model and latent-state framing used across intervention, planning, and causal representation papers.","Metadata resolved, but no abstract was exposed by the queried endpoint.",R0126,.;/;_;a;c;d;e;i;k;m;n;p;r;s;u;v;w,"Mu, J. and Viswanath, P. All-but-the-Top: Simple and Effective Postprocessing for Word Representations. ICLR (2018)."
Sed4a6098b4,resolved_with_abstract,abstract_read,arxiv,Are Flat Minima an Illusion?,Michael Timothy Bennett,2026,arXiv,,http://arxiv.org/abs/2605.05209v1,2605.05209,geometry_symmetry;description_length,True,"Here I show that the actual driver is weakness, the volume of completions compatible with the learned function in the learner's embodied language.","Grounds the geometric side of the corpus: invariances, equivariances, group actions, manifolds, and latent structure. Grounds simplicity, compression, and inductive-bias interpretations of generalization.",Abstract metadata was available; full text was not automatically read in this pass.,R0115,.;/;_;a;c;d;e;i;k;m;n;p;r;s;u;v;w,"Bennett, M. T. Are Flat Minima an Illusion? arXiv:2605.05209 (2026)."
S6f655caec7,resolved_with_abstract,abstract_read,openalex,Autopoiesis and Cognition: The Realization of the Living,Humberto R. Maturana; Francisco J. Varela; Stafford Beer,1980,,,https://openalex.org/W1916207017,,causal_representation;agency_viability;meaning_mind;world_models,True,Editorial Preface General Table Of Contents Foreword Introduction (by Professor Maturana) Biology Of Cognition Dedication Table of Contents I. Introduction II.,"Grounds claims that intervention, factorization, and object-level mechanisms are needed for representations to support counterfactual generalization. Grounds the corpus's view of agents as bounded systems that preserve viability through regulation, control, and adaptive coupling. Grounds the philosophical/neurobiological bridge from signal processing to meaning, relevance, attention, and organism-relative worlds.",Abstract metadata was available; full text was not automatically read in this pass.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,Autopoiesis and Cognition: The Realization of the Living. D. Reidel.
S743e51a2fd,resolved_metadata_only,metadata_read,openalex,"Autopoiesis, Adaptivity, Teleology, Agency",Ezequiel A. Di Paolo,2005,Phenomenology and the Cognitive Sciences,https://doi.org/10.1007/s11097-005-9002-y,https://openalex.org/W2068670723,,agency_viability,False,No reliable external metadata/abstract was recovered automatically. Keep this row in the running bibliography-repair queue.,"Grounds the corpus's view of agents as bounded systems that preserve viability through regulation, control, and adaptive coupling.","Metadata resolved, but no abstract was exposed by the queried endpoint.",R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Autopoiesis, adaptivity, teleology, agency."
S2ecdbe4371,manual_foundational_reference,topic_inferred_from_citation_fragment,manual_topic_seed,Awakening from the Meaning Crisis,,2019,,,,,meaning_mind,False,Resolved as a foundational topic rather than a single metadata record: relevance realization and meaning-making. Use as conceptual background and repair the exact bibliographic target before final publication.,"Grounds the philosophical/neurobiological bridge from signal processing to meaning, relevance, attention, and organism-relative worlds.",Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0019;R0099,.;/;;;_;a;b;c;d;e;f;g;i;l;m;n;o;p;r;s;t;u;v;y;z,"Vervaeke, J. (2019). Awakening from the Meaning Crisis. Lecture series."
S38815ef3ca,manual_foundational_reference,topic_inferred_from_citation_fragment,manual_topic_seed,Awakening from the Meaning Crisis (lecture series),,2019,,,,,meaning_mind,False,Resolved as a foundational topic rather than a single metadata record: relevance realization and meaning-making. Use as conceptual background and repair the exact bibliographic target before final publication.,"Grounds the philosophical/neurobiological bridge from signal processing to meaning, relevance, attention, and organism-relative worlds.",Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Vervaeke, J. (2019). Awakening from the Meaning Crisis (lecture series). University of Toronto."
S982b604310,manual_foundational_reference,topic_inferred_from_citation_fragment,manual_topic_seed,BALD / information gain / active inference: Bayesian Active Learning by Disagreements; Active Inference and Epistemic Value in Graphical Models,,,,,,,uncertainty_inquiry,False,Resolved as a foundational topic rather than a single metadata record: active inference and precision/value-of-information framing. Use as conceptual background and repair the exact bibliographic target before final publication.,"Grounds probe-value, reengagement, and inquiry claims in epistemic uncertainty, expected information gain, and active sampling.",Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0106,.;/;_;a;b;c;d;e;g;i;l;m;n;o;p;r;s;t;v;z,BALD / information gain / active inference: Bayesian Active Learning by Disagreements; Active Inference and Epistemic Value in Graphical Models.
S4e198b74a5,manual_foundational_reference,topic_inferred_from_citation_fragment,manual_topic_seed,BALD / value of information,,,,,,,uncertainty_inquiry,False,Resolved as a foundational topic rather than a single metadata record: Bayesian active learning and expected information gain. Use as conceptual background and repair the exact bibliographic target before final publication.,"Grounds probe-value, reengagement, and inquiry claims in epistemic uncertainty, expected information gain, and active sampling.",Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0068,.;/;_;a;b;d;e;g;l;m;n;o;p;r;s;t;u;v,BALD / value of information
Sc51952318e,resolved_with_abstract,abstract_read,openalex,Bayesian Active Learning by Disagreements: A Geometric Perspective,Xiaofeng Cao; Ivor W. Tsang,2021,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2105.02543,https://openalex.org/W3157189172,,uncertainty_inquiry;geometry_symmetry,True,"Experiments show that GBALD has slight perturbations to noisy and repeated samples, and outperforms BALD, BatchBALD and other existing deep active learning approaches.","Grounds probe-value, reengagement, and inquiry claims in epistemic uncertainty, expected information gain, and active sampling. Grounds the geometric side of the corpus: invariances, equivariances, group actions, manifolds, and latent structure.",Abstract metadata was available; full text was not automatically read in this pass.,R0087,.;/;_;a;b;c;d;e;i;l;m;n;o;p;r;s;v;z,Bayesian Active Learning by Disagreements: A Geometric Perspective
S8305bb7f0c,resolved_with_abstract,abstract_read,arxiv,Bayesian Active Learning for Classification and Preference Learning,Neil Houlsby; Ferenc Huszár; Zoubin Ghahramani; Máté Lengyel,2011,arXiv,,http://arxiv.org/abs/1112.5745v1,1112.5745,uncertainty_inquiry,True,"We propose an approach that expresses information gain in terms of predictive entropies, and apply this method to the Gaussian Process Classifier (GPC).","Grounds probe-value, reengagement, and inquiry claims in epistemic uncertainty, expected information gain, and active sampling.",Abstract metadata was available; full text was not automatically read in this pass.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Houlsby, N., Huszár, F., Ghahramani, Z., & Lengyel, M. (2011). Bayesian active learning for classification and preference learning. arXiv:1112.5745."
Sd9c6eef585,manual_foundational_reference,topic_inferred_from_citation_fragment,manual_topic_seed,"Bennett (Computation of meaning), Levin (TAME), Vervaeke (relevance realization)",,,,,,,meaning_mind,False,Resolved as a foundational topic rather than a single metadata record: relevance realization and meaning-making. Use as conceptual background and repair the exact bibliographic target before final publication.,"Grounds the philosophical/neurobiological bridge from signal processing to meaning, relevance, attention, and organism-relative worlds.",Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0065,.;/;_;a;b;d;e;g;l;m;n;o;p;r;s;t;u;v,"Bennett (Computation of meaning), Levin (TAME), Vervaeke (relevance realization)"
S2d7fb0b6c9,unresolved_external_reference,topic_inferred_from_citation_fragment,manual_topic_seed,"Bennett, On the computation of meaning",,,,,,,meaning_mind,False,No reliable external metadata/abstract was recovered automatically. Keep this row in the running bibliography-repair queue.,"Grounds the philosophical/neurobiological bridge from signal processing to meaning, relevance, attention, and organism-relative worlds.",Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0138,.;/;_;a;d;e;l;m;n;o;p;r;s;w,"Bennett, On the computation of meaning"
S2ff3eefc6a,resolved_with_abstract,abstract_read,openalex,Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models,Aarohi Srivastava; Abhinav Rastogi; Abhishek S. Rao; Abu Awal Shoeb; Abubakar Abid; Adam Fisch; Adam R. Brown; Adam Santoro,2022,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2206.04615,https://openalex.org/W4281690148,,general_foundation,True,"Language models demonstrate both quantitative improvement and new qualitative capabilities with increasing scale. To address this challenge, we introduce the Beyond the Imitation Game benchmark (BIG-bench).",Provides background literature context; its exact role needs manual section-level placement.,Abstract metadata was available; full text was not automatically read in this pass.,R0156;R0176,.;/;0;2;6;_;a;b;c;d;e;f;g;h;i;k;l;m;n;o;p;r;s;t;u;x;y,"Srivastava, Aarohi and Rastogi, Abhinav and Rao, Abhishek and Shoeb, Abu Awal Md and others (). Beyond the Imitation Game: Quantifying and Extrapolating the Capabilities of Language Models. Transactions on Machine Learning Research"
S29474e7c21,unresolved_external_reference,topic_inferred_from_citation_fragment,manual_topic_seed,"Calibrated active learning failures (closest external framing): Calibrated Uncertainty Sampling for Active Learning; When Active Learning Fails, Uncalibrated OOD Uncertainty",,,,,,,uncertainty_inquiry,False,No reliable external metadata/abstract was recovered automatically. Keep this row in the running bibliography-repair queue.,"Grounds probe-value, reengagement, and inquiry claims in epistemic uncertainty, expected information gain, and active sampling.",Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0104,.;/;_;a;b;c;d;e;g;i;l;m;n;o;p;r;s;t;v;z,"Calibrated active learning failures (closest external framing): Calibrated Uncertainty Sampling for Active Learning; When Active Learning Fails, Uncalibrated OOD Uncertainty."
S0676dc2bbd,unresolved_external_reference,topic_inferred_from_citation_fragment,manual_topic_seed,Calibrated active learning literature,,,,,,,uncertainty_inquiry,False,No reliable external metadata/abstract was recovered automatically. Keep this row in the running bibliography-repair queue.,"Grounds probe-value, reengagement, and inquiry claims in epistemic uncertainty, expected information gain, and active sampling.",Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0067,.;/;_;a;b;d;e;g;l;m;n;o;p;r;s;t;u;v,Calibrated active learning literature
Sc9611f6b68,unresolved_external_reference,topic_inferred_from_citation_fragment,manual_topic_seed,Calibrated Uncertainty Sampling for Active Learning,,,,,,,uncertainty_inquiry,False,No reliable external metadata/abstract was recovered automatically. Keep this row in the running bibliography-repair queue.,"Grounds probe-value, reengagement, and inquiry claims in epistemic uncertainty, expected information gain, and active sampling.",Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0083,.;/;;;_;a;b;c;d;e;i;l;m;n;o;p;r;s;v;w;z,Calibrated Uncertainty Sampling for Active Learning
Sfa644ac285,unresolved_external_reference,topic_inferred_from_citation_fragment,manual_topic_seed,Carried from P22-24's six-cluster citation stack,,,,,,,general_foundation,False,No reliable external metadata/abstract was recovered automatically. Keep this row in the running bibliography-repair queue.,Provides background literature context; its exact role needs manual section-level placement.,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0078,.;/;_;a;b;c;d;e;f;i;l;m;n;o;p;r;s;t;y,Carried from P22-24's six-cluster citation stack. Add for P25:
Sf1f24c4137,manual_foundational_reference,topic_inferred_from_citation_fragment,manual_topic_seed,"Carried over: P22, P23A literature stack (calibrated active learning, epistemic uncertainty, BALD, causal repr learning, sense of agency, homeostatic active inference, Di Paolo, empowerment)",,,,,,,causal_representation;agency_viability;uncertainty_inquiry,False,Resolved as a foundational topic rather than a single metadata record: active inference and precision/value-of-information framing. Use as conceptual background and repair the exact bibliographic target before final publication.,"Grounds claims that intervention, factorization, and object-level mechanisms are needed for representations to support counterfactual generalization. Grounds the corpus's view of agents as bounded systems that preserve viability through regulation, control, and adaptive coupling. Grounds probe-value, reengagement, and inquiry claims in epistemic uncertainty, expected information gain, and active sampling.",Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0029,.;/;_;a;b;d;e;g;h;i;m;n;p;r;s;t;u,"Carried over: P22, P23A literature stack (calibrated active learning, epistemic uncertainty, BALD, causal repr learning, sense of agency, homeostatic active inference, Di Paolo, empowerment). Added for P23B specifically:"
Sbe9eefee95,unresolved_external_reference,topic_inferred_from_citation_fragment,manual_topic_seed,Carry over P22's stack plus:,,,,,,,general_foundation,False,No reliable external metadata/abstract was recovered automatically. Keep this row in the running bibliography-repair queue.,Provides background literature context; its exact role needs manual section-level placement.,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0073,.;/;_;a;b;d;e;g;i;l;m;n;o;p;r;s;t;u;v,Carry over P22's stack plus:
