candidate_id,status,evidence_level,title,year,topics,reason,source_rows,source_files,raw_reference
S4e198b74a5,manual_foundational_reference,topic_inferred_from_citation_fragment,BALD / value of information,,uncertainty_inquiry,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0068,.;/;_;a;b;d;e;g;l;m;n;o;p;r;s;t;u;v,BALD / value of information
Sd9c6eef585,manual_foundational_reference,topic_inferred_from_citation_fragment,"Bennett (Computation of meaning), Levin (TAME), Vervaeke (relevance realization)",,meaning_mind,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0065,.;/;_;a;b;d;e;g;l;m;n;o;p;r;s;t;u;v,"Bennett (Computation of meaning), Levin (TAME), Vervaeke (relevance realization)"
Sf1f24c4137,manual_foundational_reference,topic_inferred_from_citation_fragment,"Carried over: P22, P23A literature stack (calibrated active learning, epistemic uncertainty, BALD, causal repr learning, sense of agency, homeostatic active inference, Di Paolo, empowerment)",,causal_representation;agency_viability;uncertainty_inquiry,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0029,.;/;_;a;b;d;e;g;h;i;m;n;p;r;s;t;u,"Carried over: P22, P23A literature stack (calibrated active learning, epistemic uncertainty, BALD, causal repr learning, sense of agency, homeostatic active inference, Di Paolo, empowerment). Added for P23B specifically:"
See28aa4e37,manual_foundational_reference,topic_inferred_from_citation_fragment,Causal mediation analysis (Pearl): explicit identification of mediated vs direct effects through interventional comparisons,,causal_representation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0054,.;/;_;a;c;d;e;g;i;l;m;n;o;p;r;s;t;v,Causal mediation analysis (Pearl): explicit identification of mediated vs direct effects through interventional comparisons.
S3d456e9495,manual_foundational_reference,topic_inferred_from_citation_fragment,"Change-point detection: CUSUM, Page-Hinkley test for distribution shift detection",,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0061,.;/;_;a;b;d;e;g;l;m;n;o;p;r;s;t;u;v,"Change-point detection: CUSUM, Page-Hinkley test for distribution shift detection"
Sba63af9a56,manual_foundational_reference,topic_inferred_from_citation_fragment,"Claim discipline if 21A succeeds: > In a minimal two-variable homeostatic bandit, autonomous identifying interventions become vector-sensitive when probe uncertainty is calibrated in dimension-normalized units; without scale normalization, the agent's decision about when to identify is biased toward the larger-magnitude dimension",,causal_representation;agency_viability;uncertainty_inquiry;meaning_mind,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0109,.;/;_;a;b;c;d;e;g;i;l;m;n;o;p;r;s;t;v;z,"Homeostatic active inference + Di Paolo + empowerment: Simulating homeostatic/allostatic active inference; Di Paolo on autopoiesis-adaptivity; Empowerment. Framing line (verbatim-usable): > We treat null actions as identifying interventions: costly epistemic actions whose value lies not in immediate reward but in reducing uncertainty about which future viability changes are self-caused versus world-caused. Prior work in active learning predicts uncertainty-driven acquisition works when uncertainty is calibrated, and fails when it is not. We show this failure mode inside a minimal self/world attribution problem and test a scale-normalized current-error correction. Claim discipline if 21A succeeds: > In a minimal two-variable homeostatic bandit, autonomous identifying interventions become vector-sensitive when probe uncertainty is calibrated in dimension-normalized units; without scale normalization, the agent's decision about when to identify is biased toward the larger-magnitude dimension. NOT: ""we solved uncertainty"" / ""consciousness"" / ""agency solved."""
S7dfe3f7e2e,manual_foundational_reference,topic_inferred_from_citation_fragment,Contrastive predictive coding (Oord et al,,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0051,.;/;_;a;c;d;e;i;l;m;n;o;p;r;s;t;v,Contrastive predictive coding (Oord et al.)
Sfbb395eea0,manual_foundational_reference,topic_inferred_from_citation_fragment,Habituation / sensory adaptation in cognitive neuroscience: how biological systems dampen response to repeated stimuli,,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0063,.;/;_;a;b;d;e;g;l;m;n;o;p;r;s;t;u;v,Habituation / sensory adaptation in cognitive neuroscience: how biological systems dampen response to repeated stimuli
S7ad341fe44,manual_foundational_reference,topic_inferred_from_citation_fragment,Habituation in cognitive neuroscience: dampened motor response while preserving sensory detection,,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0030,.;/;_;a;b;d;e;g;h;i;m;n;p;r;s;t;u,Habituation in cognitive neuroscience: dampened motor response while preserving sensory detection
Se3d6f5b156,manual_foundational_reference,topic_inferred_from_citation_fragment,Habituation in cognitive neuroscience: how biological systems dampen response to repeated stimuli without losing the underlying detection,,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0040,.;/;_;a;b;d;e;g;h;i;m;n;o;p;r;s;t;u,Habituation in cognitive neuroscience: how biological systems dampen response to repeated stimuli without losing the underlying detection
Sea1cf13144,manual_foundational_reference,topic_inferred_from_citation_fragment,Habituation literature (carried from P23B),,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0053,.;/;_;a;c;d;e;i;l;m;n;o;p;r;s;t;v,Habituation literature (carried from P23B)
Sace0107c7d,manual_foundational_reference,topic_inferred_from_citation_fragment,Habituation literature (carried from P23B): decision-layer cooling preserves detection while regulating action,,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0057,.;/;_;a;c;d;e;g;i;l;m;n;o;p;r;s;t;v,Habituation literature (carried from P23B): decision-layer cooling preserves detection while regulating action.
Sc0eddf169f,manual_foundational_reference,topic_inferred_from_citation_fragment,Information value vs information cost in active inference: Friston's free-energy framing of when to attend vs disengage Plus the established stack:,,uncertainty_inquiry,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0064,.;/;_;a;b;d;e;g;l;m;n;o;p;r;s;t;u;v,Information value vs information cost in active inference: Friston's free-energy framing of when to attend vs disengage Plus the established stack:
S0a2e177374,manual_foundational_reference,topic_inferred_from_citation_fragment,Logic: The Theory of Inquiry,2005,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Dewey, J. (1938). Logic: The Theory of Inquiry. Henry Holt. Di Paolo, E. (2005)."
Sb611dd5c0c,manual_foundational_reference,topic_inferred_from_citation_fragment,"Novelty detection / change-point detection: CUSUM, page-Hinkley, surprise-driven exploration",,uncertainty_inquiry,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0074,.;/;_;a;b;d;e;g;i;l;m;n;o;p;r;s;t;u;v,"Novelty detection / change-point detection: CUSUM, page-Hinkley, surprise-driven exploration"
Sa6896ccba4,manual_foundational_reference,topic_inferred_from_citation_fragment,Online k-means / vector quantization,,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0052,.;/;_;a;c;d;e;i;l;m;n;o;p;r;s;t;v,Online k-means / vector quantization
Sccc586ece7,manual_foundational_reference,topic_inferred_from_citation_fragment,Pearl mediation analysis,,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0050,.;/;_;a;c;d;e;i;l;m;n;o;p;r;s;t;v,Pearl mediation analysis
S6d7f7343cf,manual_foundational_reference,topic_inferred_from_citation_fragment,Predictive Processing Model of Perception and Action for Self-Other Distinction Homeostatic active inference + enactive adaptivity:,,agency_viability,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0093,.;/;_;a;b;c;d;e;i;l;m;n;o;p;r;s;v;z,Predictive Processing Model of Perception and Action for Self-Other Distinction Homeostatic active inference + enactive adaptivity:
S41f4bff29f,manual_foundational_reference,topic_inferred_from_citation_fragment,Problems of monetary management: the U,1975,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Goodhart, C. (1975). Problems of monetary management: the U.K. experience. Papers in Monetary Economics. Reserve Bank of Australia."
Saf85a7ace6,manual_foundational_reference,topic_inferred_from_citation_fragment,Quantifying Epistemic Uncertainty in Deep Learning BALD / information gain / active inference epistemic value:,,uncertainty_inquiry,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0086,.;/;_;a;b;c;d;e;i;l;m;n;o;p;r;s;v;z,Quantifying Epistemic Uncertainty in Deep Learning BALD / information gain / active inference epistemic value:
S69b731796f,manual_foundational_reference,topic_inferred_from_citation_fragment,Refractory periods in neural firing: temporary suppression after activation,,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0041,.;/;_;a;b;d;e;g;h;i;m;n;o;p;r;s;t;u,Refractory periods in neural firing: temporary suppression after activation
S52e67c0f31,manual_foundational_reference,topic_inferred_from_citation_fragment,Refractory periods in spiking neurons: temporary action threshold elevation post-firing,,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0031,.;/;_;a;b;d;e;g;h;i;m;n;p;r;s;t;u,Refractory periods in spiking neurons: temporary action threshold elevation post-firing
S1508b0c1de,manual_foundational_reference,topic_inferred_from_citation_fragment,Sein und Zeit (Being and Time),1927,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Heidegger, M. (1927). Sein und Zeit (Being and Time). Niemeyer."
S7e6f3322fc,manual_foundational_reference,topic_inferred_from_citation_fragment,"Simulating homeostatic, allostatic and goal-directed forms of interoceptive control using Active Inference",,agency_viability,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0094,.;/;_;a;b;c;d;e;i;l;m;n;o;p;r;s;v;z,"Simulating homeostatic, allostatic and goal-directed forms of interoceptive control using Active Inference"
Sb1120a0860,manual_foundational_reference,topic_inferred_from_citation_fragment,The Ecological Approach to Visual Perception,1979,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Gibson, J. J. (1979). The Ecological Approach to Visual Perception. Houghton Mifflin."
S1f099d8a22,manual_foundational_reference,topic_inferred_from_citation_fragment,"The free-energy principle: a unified brain theory? Nature Reviews Neuroscience, 11(2), 127-138",2010,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Friston, K. (2010). The free-energy principle: a unified brain theory? Nature Reviews Neuroscience, 11(2), 127-138."
Sac5208e823,manual_foundational_reference,topic_inferred_from_citation_fragment,The Phenomenon of Life: Toward a Philosophical Biology,1966,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Jonas, H. (1966). The Phenomenon of Life: Toward a Philosophical Biology."
Sa06325970b,manual_foundational_reference,topic_inferred_from_citation_fragment,Value of information in active inference: explicit treatment of intervention value vs information value Honest framing line: > Paper 23A redefines the program's probe-value signal as marginal MAE reducibility - the expected benefit of one more identifying intervention - and introduces a re-engagement mechanism that detects boundary staleness via non-null prediction surprise,,causal_representation;uncertainty_inquiry,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0077,.;/;_;a;b;d;e;g;i;l;m;n;o;p;r;s;t;u;v,Value of information in active inference: explicit treatment of intervention value vs information value Honest framing line: > Paper 23A redefines the program's probe-value signal as marginal MAE reducibility - the expected benefit of one more identifying intervention - and introduces a re-engagement mechanism that detects boundary staleness via non-null prediction surprise. Both upgrades address concrete bottlenecks Paper 22 named: oracle confounding (current error != value) and self-silencing (probe stops -> no data -> probe stays stopped).
Se3bc961bd1,manual_foundational_reference,topic_inferred_from_citation_fragment,"Vervaeke relevance realization (lecture series) - relevance under representational bounds Plus the philosophical correlates the program operationalizes: Heidegger, Gibson, Uexküll, enactivism (Maturana/Varela/Thompson/Di Paolo), cybernetics (Ashby), active inference (Friston), pragmatism (Dewey), Canguilhem, Jonas, Simondon",,world_models,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0081,.;/;_;a;b;c;d;e;f;i;l;m;n;o;p;r;s;t;y,"Vervaeke relevance realization (lecture series) - relevance under representational bounds Plus the philosophical correlates the program operationalizes: Heidegger, Gibson, Uexküll, enactivism (Maturana/Varela/Thompson/Di Paolo), cybernetics (Ashby), active inference (Friston), pragmatism (Dewey), Canguilhem, Jonas, Simondon."
Sf56633987d,manual_foundational_reference,topic_inferred_from_citation_fragment,"Vervaeke, Awakening from the Meaning Crisis",,meaning_mind,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0140,.;/;_;a;d;e;l;m;n;o;p;r;s;w,"Vervaeke, Awakening from the Meaning Crisis"
S5683a1d8ec,manual_foundational_reference,topic_inferred_from_citation_fragment,Viability Theory,1991,agency_viability,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0111,.;/;_;a;b;c;d;e;i;l;m;n;o;p;r;s;t;u;v,"Aubin, J.-P. (1991). Viability Theory. Birkhauser."
Sbe3041f353,resolved_metadata_only,metadata_read,All-but-the-Top: Simple and Effective Postprocessing for Word Representations,2018,world_models,"Metadata resolved, but no abstract was exposed by the queried endpoint.",R0126,.;/;_;a;c;d;e;i;k;m;n;p;r;s;u;v;w,"Mu, J. and Viswanath, P. All-but-the-Top: Simple and Effective Postprocessing for Word Representations. ICLR (2018)."
S743e51a2fd,resolved_metadata_only,metadata_read,"Autopoiesis, Adaptivity, Teleology, Agency",2005,agency_viability,"Metadata resolved, but no abstract was exposed by the queried endpoint.",R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Autopoiesis, adaptivity, teleology, agency."
S67093e549d,resolved_metadata_only,metadata_read,L'individu et sa genèse physico-biologique,1995,general_foundation,"Metadata resolved, but no abstract was exposed by the queried endpoint.",R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Simondon, G. (1958). L'Individu et sa genèse physico-biologique. Presses Universitaires de France."
S2eeb050d46,unresolved_external_reference,topic_inferred_from_citation_fragment,(weakly supervised causal repr learning),,causal_representation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0069,.;/;_;a;b;d;e;g;l;m;n;o;p;r;s;t;u;v,Brehmer et al. (weakly supervised causal repr learning)
S9959b313d1,unresolved_external_reference,topic_inferred_from_citation_fragment,) - disjoint per-role heads via gated routing,,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0079,.;/;_;a;b;c;d;e;f;i;l;m;n;o;p;r;s;t;y,Mixture of experts (Shazeer et al.) - disjoint per-role heads via gated routing
S43afbcf67c,unresolved_external_reference,topic_inferred_from_citation_fragment,", & Blundell, C",2017,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Lakshminarayanan, B., Pritzel, A., & Blundell, C. (2017)."
S90f272b042,unresolved_external_reference,topic_inferred_from_citation_fragment,"A Foray into the Worlds of Animals and Humans (English translation, 2010)",2010,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Uexküll, J. von (1934). A Foray into the Worlds of Animals and Humans (English translation, 2010). University of Minnesota Press."
S9490cfd757,unresolved_external_reference,topic_inferred_from_citation_fragment,"A Formal Theory of Inductive Inference, Parts I and II",1964,agency_viability;uncertainty_inquiry;description_length,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0129,.;/;_;a;c;d;e;i;k;m;n;p;r;s;u;v;w,"Solomonoff, R. J. A Formal Theory of Inductive Inference, Parts I and II. Information and Control 7(1):1-22, 7(2):224-254 (1964)."
S3a7718876d,unresolved_external_reference,topic_inferred_from_citation_fragment,Active learning under distribution shift: continual active learning literature,,uncertainty_inquiry,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0075,.;/;_;a;b;d;e;g;i;l;m;n;o;p;r;s;t;u;v,Active learning under distribution shift: continual active learning literature
Sb386185292,unresolved_external_reference,topic_inferred_from_citation_fragment,Add for Paper 23B:,,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0039,.;/;_;a;b;d;e;g;h;i;m;n;o;p;r;s;t;u,Add for Paper 23B:
S7c5f36ac92,unresolved_external_reference,topic_inferred_from_citation_fragment,Alignment is to a virtual governor: A theory of coordination in diverse intelligence,2026,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0001;R0059,.;/;;;_;a;b;c;d;e;f;g;h;i;k;l;m;n;o;p;r;s;t;u;v;w;y,"Lyons, B., Pio-Lopez, L., & Levin, M. (2026). Alignment is to a virtual governor: A theory of coordination in diverse intelligence. Preprints.org. doi:10.20944/preprints202607.0220.v1. Not peer-reviewed."
S2d7fb0b6c9,unresolved_external_reference,topic_inferred_from_citation_fragment,"Bennett, On the computation of meaning",,meaning_mind,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0138,.;/;_;a;d;e;l;m;n;o;p;r;s;w,"Bennett, On the computation of meaning"
S29474e7c21,unresolved_external_reference,topic_inferred_from_citation_fragment,"Calibrated active learning failures (closest external framing): Calibrated Uncertainty Sampling for Active Learning; When Active Learning Fails, Uncalibrated OOD Uncertainty",,uncertainty_inquiry,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0104,.;/;_;a;b;c;d;e;g;i;l;m;n;o;p;r;s;t;v;z,"Calibrated active learning failures (closest external framing): Calibrated Uncertainty Sampling for Active Learning; When Active Learning Fails, Uncalibrated OOD Uncertainty."
S0676dc2bbd,unresolved_external_reference,topic_inferred_from_citation_fragment,Calibrated active learning literature,,uncertainty_inquiry,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0067,.;/;_;a;b;d;e;g;l;m;n;o;p;r;s;t;u;v,Calibrated active learning literature
Sc9611f6b68,unresolved_external_reference,topic_inferred_from_citation_fragment,Calibrated Uncertainty Sampling for Active Learning,,uncertainty_inquiry,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0083,.;/;;;_;a;b;c;d;e;i;l;m;n;o;p;r;s;v;w;z,Calibrated Uncertainty Sampling for Active Learning
Sfa644ac285,unresolved_external_reference,topic_inferred_from_citation_fragment,Carried from P22-24's six-cluster citation stack,,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0078,.;/;_;a;b;c;d;e;f;i;l;m;n;o;p;r;s;t;y,Carried from P22-24's six-cluster citation stack. Add for P25:
Sbe9eefee95,unresolved_external_reference,topic_inferred_from_citation_fragment,Carry over P22's stack plus:,,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0073,.;/;_;a;b;d;e;g;i;l;m;n;o;p;r;s;t;u;v,Carry over P22's stack plus:
S11fcbeb65b,unresolved_external_reference,topic_inferred_from_citation_fragment,"Causal abstraction identifiability under partial intervention (Beckers, Halpern)",,causal_representation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0080,.;/;_;a;b;c;d;e;f;i;l;m;n;o;p;r;s;t;y,"Causal abstraction identifiability under partial intervention (Beckers, Halpern)"
S0d977d903e,unresolved_external_reference,topic_inferred_from_citation_fragment,"Cite tight, ~12-16 papers across:",,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0103,.;/;_;a;b;c;d;e;g;i;l;m;n;o;p;r;s;t;v;z,"Cite tight, ~12-16 papers across:"
S21ade9d5e9,unresolved_external_reference,topic_inferred_from_citation_fragment,Comparator model literature,,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0092,.;/;_;a;b;c;d;e;i;l;m;n;o;p;r;s;v;z,Comparator model literature
S07014f639c,unresolved_external_reference,topic_inferred_from_citation_fragment,Continual active learning under distribution shift: literature on active learning when the labeled distribution shifts mid-stream,,uncertainty_inquiry,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0062,.;/;_;a;b;d;e;g;l;m;n;o;p;r;s;t;u;v,Continual active learning under distribution shift: literature on active learning when the labeled distribution shifts mid-stream
Sd5406cc6be,unresolved_external_reference,topic_inferred_from_citation_fragment,Di Paolo (autopoiesis/adaptivity),,agency_viability,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0071,.;/;_;a;b;d;e;g;l;m;n;o;p;r;s;t;u;v,Di Paolo (autopoiesis/adaptivity)
Sc8cb8fcf2e,unresolved_external_reference,topic_inferred_from_citation_fragment,"Di Paolo, Autopoiesis, adaptivity, teleology, agency",,agency_viability,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0095,.;/;;;_;a;b;c;d;e;i;l;m;n;o;p;r;s;v;w;z,"Di Paolo, Autopoiesis, adaptivity, teleology, agency"
S0565cc7303,unresolved_external_reference,topic_inferred_from_citation_fragment,Empowerment (Klyubin et al,,agency_viability,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0070,.;/;_;a;b;d;e;g;l;m;n;o;p;r;s;t;u;v,Empowerment (Klyubin et al.)
S5ef816c320,unresolved_external_reference,topic_inferred_from_citation_fragment,Empowerment: Universal Agent-Centric Measure of Control Foundations:,,agency_viability,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0096,.;/;_;a;b;c;d;e;i;l;m;n;o;p;r;s;v;z,Empowerment: Universal Agent-Centric Measure of Control Foundations:
S2054dd20ac,unresolved_external_reference,topic_inferred_from_citation_fragment,Epistemic neural networks,2023,uncertainty_inquiry,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0059;R0085,.;/;;;_;a;b;c;d;e;h;i;k;l;m;n;o;p;r;s;t;v;w;y;z,"Osband, I., Wen, Z., Asghari, S. M., Dwaracherla, V., Ibrahimi, M., Lu, X., & Van Roy, B. (2023). Epistemic neural networks. Advances in Neural Information Processing Systems, 36."
S69a0a4d9da,unresolved_external_reference,topic_inferred_from_citation_fragment,Epistemic uncertainty calibration: Epistemic Neural Networks; Quantifying Epistemic Uncertainty in Deep Learning,,uncertainty_inquiry,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0105,.;/;_;a;b;c;d;e;g;i;l;m;n;o;p;r;s;t;v;z,Epistemic uncertainty calibration: Epistemic Neural Networks; Quantifying Epistemic Uncertainty in Deep Learning.
S928e5a85b0,unresolved_external_reference,topic_inferred_from_citation_fragment,General Identifiability and Achievability for CRL,,causal_representation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0090,.;/;_;a;b;c;d;e;i;l;m;n;o;p;r;s;v;z,General Identifiability and Achievability for CRL
S0cb7e29962,unresolved_external_reference,topic_inferred_from_citation_fragment,Harper & Row.,,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,Harper & Row.
S87db2f1f83,unresolved_external_reference,topic_inferred_from_citation_fragment,Locatello et al. (disentangled representations),,world_models,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0066,.;/;;;_;a;b;d;e;g;l;m;n;o;p;r;s;t;u;v;w,Locatello et al. (disentangled representations)
Sd6e26a92c0,unresolved_external_reference,topic_inferred_from_citation_fragment,"Mind in Life: Biology, Phenomenology, and the Sciences of Mind",2007,meaning_mind,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0059,.;/;_;a;c;d;e;h;i;k;m;n;p;r;s;t;y,"Thompson, E. (2007). Mind in Life: Biology, Phenomenology, and the Sciences of Mind. Harvard University Press."
S363fee3333,unresolved_external_reference,topic_inferred_from_citation_fragment,Modeling by Shortest Data Description,1978,general_foundation,Requires manual bibliographic resolution before it can support a strong literature-review claim.,R0134,.;/;_;a;c;d;e;i;k;m;n;p;r;s;u;v;w,"Rissanen, J. Modeling by Shortest Data Description. Automatica 14(5):465-471 (1978)."
